Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST0072,57,34283,38597,622,319,No
CUST0073,74,40369,35751,700,205,No
CUST0074,73,33848,42615,664,98,No
CUST0075,41,41544,26726,432,218,No
CUST0076,54,78925,32591,399,118,Yes
CUST0077,30,81086,28128,639,123,No
CUST0078,63,61160,24308,717,172,Yes
CUST0079,22,73282,23953,815,192,No
CUST0080,20,35825,15977,403,219,Yes
CUST0081,60,90244,7315,814,152,Yes
CUST0082,32,66961,44166,453,139,No
CUST0083,67,146436,24927,324,160,No
CUST0084,36,120969,41943,691,130,No
CUST0085,23,47215,22068,788,206,Yes
CUST0086,72,79233,9025,338,319,No
CUST0087,32,60410,46241,597,252,No
CUST0088,73,80731,36009,465,24,No
CUST0089,24,54735,42889,455,300,No
CUST0090,42,131736,16080,774,136,Yes
CUST0091,35,35717,42542,380,342,No
CUST0092,47,31851,8382,395,45,No
CUST0093,58,40658,48012,537,243,No
CUST0094,71,125853,24120,520,23,Yes
CUST0095,41,109922,45915,444,211,No
CUST0096,28,59874,6789,464,304,Yes
CUST0097,41,128316,23796,813,188,Yes
CUST0098,40,112367,36769,828,196,No
CUST0099,31,111341,10407,835,207,No
CUST0100,60,99076,13311,649,22,Yes
CUST0101,35,25286,38134,758,263,No
CUST0102,62,48183,10037,434,235,No
CUST0103,61,129566,23209,647,240,Yes
CUST0104,59,132272,21518,597,229,No
CUST0105,22,62964,13686,668,57,Yes
CUST0106,56,39441,45356,741,235,Yes
CUST0107,58,31955,23413,340,142,Yes
CUST0108,28,113212,23036,696,190,No
CUST0109,52,52534,21839,544,129,Yes
CUST0110,64,146930,5930,513,149,No
CUST0111,33,66627,12310,376,199,Yes
CUST0112,28,71936,44572,456,145,Yes
CUST0113,47,87300,16443,809,257,No
CUST0114,42,26416,43782,399,92,Yes
CUST0115,35,108759,14904,315,98,No
CUST0116,58,59169,48198,446,124,Yes
CUST0117,62,54100,34271,616,311,No
CUST0118,53,127490,29233,389,342,Yes
CUST0119,32,149849,16494,810,276,No
CUST0120,61,42789,22121,396,318,No
CUST0121,38,24073,20479,765,283,No
CUST0122,71,144793,36779,621,112,Yes
CUST0123,67,73004,16849,473,30,Yes
CUST0124,67,132014,39562,602,207,Yes
CUST0125,21,79270,7168,465,198,No
CUST0126,32,92869,27468,369,36,Yes
CUST0127,70,118052,10531,586,129,No
CUST0128,20,92105,14507,672,58,Yes
CUST0129,69,52748,44029,661,93,Yes
CUST0130,38,32415,15102,391,59,No
CUST0131,43,80560,37502,372,327,Yes
CUST0132,35,33357,32062,483,295,No
CUST0133,22,125368,30111,771,37,No
CUST0134,31,124046,20594,564,140,Yes
CUST0135,54,38322,48297,784,52,Yes
CUST0136,74,35919,33847,562,280,No
CUST0137,63,21567,46784,752,142,Yes
CUST0138,38,28083,15963,443,243,Yes
CUST0139,31,128838,18818,426,88,No
CUST0140,59,122361,42863,799,162,No
CUST0141,49,148787,27614,340,84,Yes
CUST0142,43,49135,8560,672,235,No
CUST0143,74,37133,47091,593,154,Yes
CUST0144,59,45969,22327,710,107,No
CUST0145,47,127960,12601,718,129,Yes
CUST0146,27,72505,8442,432,221,Yes
CUST0147,34,68790,15983,751,171,Yes
CUST0148,26,109952,35409,675,97,No
CUST0149,33,102614,31132,824,278,Yes
CUST0150,65,142889,36210,621,46,Yes
CUST0151,53,104500,24750,682,130,Yes
CUST0152,52,31015,36212,385,59,Yes
CUST0153,34,96326,39899,723,329,Yes
CUST0154,65,96823,20313,818,38,No
CUST0155,55,53924,29890,760,305,No
CUST0156,45,140249,49794,569,347,No
CUST0157,75,126528,30563,343,102,Yes
CUST0158,55,29828,36102,358,159,No
CUST0159,43,22857,22211,550,292,No
CUST0160,41,28450,14512,308,252,No
CUST0161,32,45919,39763,458,228,No
CUST0162,26,138291,33490,407,97,No
CUST0163,50,104670,5777,597,132,No
CUST0164,49,78121,23926,684,20,No
CUST0165,23,126076,34413,462,112,No
CUST0166,66,36880,30035,708,320,No
CUST0167,21,32055,49465,374,51,No
CUST0168,73,138630,25688,528,46,No
CUST0169,25,131054,39750,697,63,No
CUST0170,27,128705,49752,773,149,Yes
CUST0171,58,126022,7688,395,103,No
CUST0172,28,63456,11380,657,285,Yes
CUST0173,68,36059,39818,777,75,No
CUST0174,61,25596,46774,779,248,No
CUST0175,45,143506,28188,847,295,No
CUST0176,56,80423,33297,776,200,No
CUST0177,22,26637,45008,411,103,No
CUST0178,42,42018,47733,387,90,No
CUST0179,42,141127,22864,484,285,No
CUST0180,56,95220,26952,410,107,Yes
CUST0181,47,76774,22716,706,137,No
CUST0182,51,127699,22503,743,16,Yes
CUST0183,34,114952,11440,504,178,No
CUST0184,53,71773,21734,711,99,Yes
CUST0185,73,85028,47883,636,151,Yes
CUST0186,18,23864,43284,366,274,Yes
CUST0187,61,70165,30634,624,22,No
CUST0188,64,109550,35219,650,268,No
CUST0189,25,75923,49255,797,270,No
CUST0190,61,42650,20846,517,41,Yes
CUST0191,74,66392,49032,787,213,Yes
CUST0192,52,48143,43582,417,81,No
CUST0193,66,139053,17774,585,97,No
CUST0194,35,44530,39075,765,36,Yes
CUST0195,67,56042,27112,339,252,No
CUST0196,59,56681,49414,459,91,Yes
CUST0197,39,78459,16791,781,79,No
CUST0198,25,135792,25530,449,135,Yes
CUST0199,36,39481,40888,518,323,No
CUST0200,45,24541,5693,627,200,No
CUST0201,28,100492,49092,332,305,No
CUST0202,47,101156,5555,689,154,No
CUST0203,18,100868,9453,363,248,No
CUST0204,64,52215,5783,670,137,No
CUST0205,74,104840,31951,740,244,Yes
CUST0206,64,58680,11402,784,101,Yes
CUST0207,34,85390,39423,518,68,Yes
CUST0208,50,74000,11809,355,139,Yes
CUST0209,66,135707,49924,516,94,No
CUST0210,29,92179,34225,323,339,No
CUST0211,50,82787,28036,733,322,Yes
CUST0212,24,27992,19379,576,33,Yes
CUST0213,73,31497,23566,558,46,No
CUST0214,58,56670,21508,480,205,Yes
CUST0215,37,70202,17653,385,81,No
CUST0216,71,37987,7230,445,12,Yes
CUST0217,58,74949,6553,370,159,No
CUST0218,50,46143,45592,580,247,Yes
CUST0219,56,104233,11025,714,282,No
CUST0220,30,135953,8727,383,262,Yes
CUST0221,27,124490,43937,605,358,No
CUST0222,41,88919,48031,762,214,Yes
CUST0223,66,52656,19209,729,293,Yes
CUST0224,28,102674,44281,837,289,Yes
CUST0225,52,125141,46817,519,218,No
CUST0226,67,91258,12981,565,280,Yes
CUST0227,51,124182,12862,488,250,No
CUST0228,18,22559,10661,355,343,No
CUST0229,56,149683,44628,394,278,No
CUST0230,38,70134,13513,738,193,Yes
CUST0231,49,122487,29638,650,322,Yes
CUST0232,19,113502,48017,604,307,No
CUST0233,25,67069,47461,468,219,No
CUST0234,41,82873,42097,503,140,Yes
CUST0235,74,91371,17108,657,280,No
CUST0236,71,122424,12264,729,220,Yes
CUST0237,69,83527,17075,793,97,Yes
CUST0238,37,65093,21602,786,269,Yes
CUST0239,33,139626,24304,848,267,Yes
CUST0240,21,94141,35602,464,76,Yes
CUST0241,33,85849,48285,747,30,No
CUST0242,74,62153,9962,663,117,No
CUST0243,54,70905,46863,698,49,Yes
CUST0244,23,55446,34716,310,319,Yes
CUST0245,23,43568,23113,503,200,Yes
CUST0246,64,23416,32982,379,164,Yes
CUST0247,49,61795,48750,448,71,No
CUST0248,70,98265,26194,631,321,No
CUST0249,22,48707,21864,624,223,Yes
CUST0250,66,23840,15614,314,207,No
CUST0251,52,137409,9849,454,204,No
CUST0252,67,126258,23172,769,165,Yes
CUST0253,26,122044,9088,451,203,Yes
CUST0254,26,56822,30087,811,24,No
CUST0255,60,27679,30466,624,173,No
CUST0256,48,125991,26800,416,261,Yes
CUST0257,53,149961,8936,716,113,No
CUST0258,28,81824,21923,569,20,No
CUST0259,34,89393,22345,833,122,No
CUST0260,51,66849,16660,303,234,No
CUST0261,73,120511,33873,761,338,No
CUST0262,56,96544,9548,428,87,Yes
CUST0263,45,50508,37225,760,242,Yes
CUST0264,31,147661,18151,399,314,No
CUST0265,52,40922,44996,337,83,Yes
CUST0266,66,33124,30731,523,344,Yes
CUST0267,64,52487,16694,492,166,Yes
CUST0268,62,106096,47302,730,214,No
CUST0269,30,51608,37247,470,137,No
CUST0270,63,54934,12106,686,84,Yes
CUST0271,37,89951,14428,521,20,Yes
CUST0272,43,126992,40430,656,128,No
CUST0273,60,123709,33262,514,236,No
CUST0274,59,140227,19312,495,141,No
CUST0275,41,116607,45236,314,261,Yes
CUST0276,46,27328,47161,679,216,No
CUST0277,75,120145,11963,672,250,No
CUST0278,51,144230,33939,316,250,No
CUST0279,46,48758,21973,609,202,No
CUST0280,25,95457,11769,614,116,Yes
CUST0281,33,130953,7284,814,249,Yes
CUST0282,32,148799,9778,427,78,No
CUST0283,22,124515,9614,811,224,Yes
CUST0284,39,70911,42443,766,38,Yes
CUST0285,19,66504,21423,723,137,No
CUST0286,55,142579,34221,720,86,Yes
CUST0287,53,129998,6229,660,339,Yes
CUST0288,32,149963,37617,660,63,No
CUST0289,55,130784,14755,736,163,Yes
CUST0290,32,42768,47786,835,203,No
CUST0291,18,43081,46965,643,39,Yes
CUST0292,22,51005,5056,416,191,Yes
CUST0293,63,97662,7479,480,250,No
CUST0294,58,61681,48555,769,209,No
CUST0295,21,125671,30590,738,346,Yes
CUST0296,32,116744,22461,682,233,Yes
CUST0297,22,111439,14935,481,51,Yes
CUST0298,75,67026,26615,466,318,Yes
CUST0299,20,139797,30646,746,162,No
CUST0300,73,97537,42659,690,193,Yes
CUST0301,39,23697,5242,591,274,Yes
CUST0302,22,112202,38776,747,294,Yes
CUST0303,50,111823,37157,590,256,No
CUST0304,33,66095,36335,401,32,Yes
CUST0305,35,144198,33577,389,257,No
CUST0306,60,94403,31470,406,46,No
CUST0307,49,93873,9594,391,192,Yes
CUST0308,31,38625,40397,316,181,Yes
CUST0309,52,93807,19801,721,111,No
CUST0310,26,144304,5216,406,170,Yes
CUST0311,64,44672,30193,808,271,No
CUST0312,74,129667,36592,402,96,Yes
CUST0313,54,149499,12943,754,17,Yes
CUST0314,54,126220,42174,815,63,Yes
CUST0315,48,135556,40081,333,86,No
CUST0316,33,147190,28522,596,299,Yes
CUST0317,68,84517,26852,730,150,No
CUST0318,48,91057,49684,516,42,Yes
CUST0319,69,60508,24846,528,24,Yes
CUST0320,44,43010,31254,765,272,Yes
CUST0321,30,84282,8617,690,123,Yes
CUST0322,24,24975,46436,417,334,Yes
CUST0323,24,31830,47406,500,278,No
CUST0324,60,27362,10941,780,202,No
CUST0325,45,50490,28943,427,24,No
CUST0326,40,98861,40037,659,241,Yes
CUST0327,45,48679,27286,775,218,No
CUST0328,44,22612,10272,722,183,Yes
CUST0329,47,89002,35122,705,325,Yes
CUST0330,73,82650,24002,307,247,Yes
CUST0331,64,20089,47453,683,189,No
CUST0332,21,63481,18311,529,330,Yes
CUST0333,61,140310,16574,819,179,No
CUST0334,59,100495,41338,590,157,Yes
CUST0335,59,46406,7577,574,200,No
CUST0336,24,125702,30176,570,38,No
CUST0337,21,37103,48301,614,276,Yes
CUST0338,43,64663,17517,724,311,Yes
CUST0339,64,113970,24586,547,75,Yes
CUST0340,39,43260,30565,304,236,Yes
CUST0341,69,140426,11997,724,261,Yes
CUST0342,73,125175,46328,333,233,No
CUST0343,24,130662,28544,315,275,Yes
CUST0344,33,133798,36883,326,30,Yes
CUST0345,30,62413,10561,457,353,Yes
CUST0346,30,27806,46470,683,292,Yes
CUST0347,52,22872,33703,831,301,No
CUST0348,46,39360,17416,625,271,No
CUST0349,26,96888,14171,643,46,No
CUST0350,45,112365,7339,474,90,Yes
CUST0351,29,140222,17654,740,205,No
CUST0352,35,38566,6662,547,181,Yes
CUST0353,47,121497,43859,700,350,Yes
CUST0354,33,34538,20629,497,237,Yes
CUST0355,73,130949,37062,702,337,No
CUST0356,22,88982,30478,352,148,No
CUST0357,46,132809,9128,739,85,Yes
CUST0358,69,67826,40425,431,84,No
CUST0359,73,145902,47166,699,112,Yes
CUST0360,72,29506,25167,477,59,No
CUST0361,53,68967,37747,712,327,No
CUST0362,24,112345,39992,625,208,Yes
CUST0363,21,143459,34445,829,153,Yes
CUST0364,59,106787,6075,462,213,No
CUST0365,52,71851,7427,747,124,Yes
CUST0366,71,96810,27235,536,33,Yes
CUST0367,18,33242,8673,401,34,No
CUST0368,23,64113,27132,429,167,No
CUST0369,66,59552,7805,816,18,Yes
CUST0370,72,62284,31575,421,80,Yes
CUST0371,33,37884,12745,701,111,Yes
CUST0372,28,147908,18872,566,226,No
CUST0373,44,40644,47850,462,303,Yes
CUST0374,49,115990,48733,630,111,Yes
CUST0375,48,144347,39283,508,225,Yes
CUST0376,31,77261,35039,395,89,No
CUST0377,73,123788,49438,395,230,Yes
CUST0378,43,103789,40164,326,292,Yes
CUST0379,75,145915,14761,747,302,No
CUST0380,21,83858,42968,311,142,Yes
CUST0381,28,105089,20268,456,119,No
CUST0382,42,61586,9720,328,12,Yes
CUST0383,18,42833,7416,380,45,Yes
CUST0384,42,112691,14279,691,95,Yes
CUST0385,34,146975,37040,325,31,No
CUST0386,68,93659,47849,433,147,No
CUST0387,68,110906,6249,764,259,No
CUST0388,47,136601,35881,666,45,No
CUST0389,36,141745,45525,491,124,No
CUST0390,45,100440,8001,545,251,No
CUST0391,62,123152,20904,527,96,Yes
CUST0392,64,66769,47518,604,356,No
CUST0393,68,49260,13554,498,264,No
CUST0394,53,107232,5941,848,70,No
CUST0395,60,97194,16288,551,52,Yes
CUST0396,63,126752,46462,687,354,Yes
CUST0397,49,42983,8274,566,247,Yes
CUST0398,27,69595,25141,352,187,Yes
CUST0399,30,60215,11376,581,327,Yes
CUST0400,36,116206,34896,384,202,Yes
CUST0401,31,110242,45057,447,252,Yes
CUST0402,21,58602,16186,323,144,Yes
CUST0403,55,36691,43734,405,307,Yes
CUST0404,65,43292,9191,413,297,No
CUST0405,52,115529,11968,770,292,No
CUST0406,21,20235,12482,425,181,Yes
CUST0407,65,144359,37580,409,335,No
CUST0408,38,112013,43992,445,352,Yes
CUST0409,21,144347,45345,589,179,Yes
CUST0410,21,95082,19455,568,281,Yes
CUST0411,55,71327,9135,484,91,No
CUST0412,48,131510,18280,395,353,No
CUST0413,50,121034,32932,379,313,Yes
CUST0414,72,146508,27108,806,278,No
CUST0415,51,94381,49459,670,154,Yes
CUST0416,28,24244,31346,512,316,No
CUST0417,21,43865,26249,700,137,Yes
CUST0418,50,98956,12916,403,127,No
CUST0419,23,61709,49832,802,23,Yes
CUST0420,72,140722,42746,322,234,No
CUST0421,29,126011,40775,723,259,Yes
CUST0422,22,146816,14000,375,151,No
CUST0423,56,100134,26075,798,180,Yes
CUST0424,22,48953,18974,378,272,Yes
CUST0425,61,103839,7987,515,165,Yes
CUST0426,73,94127,43868,729,267,Yes
CUST0427,33,33645,16367,684,219,No
CUST0428,43,142773,26987,621,38,No
CUST0429,25,85035,9143,761,314,No
CUST0430,74,38434,12913,464,165,No
CUST0431,54,63406,22949,484,143,Yes
CUST0432,33,117693,14256,605,66,Yes
CUST0433,55,30198,32207,310,87,Yes
CUST0434,56,51194,16013,482,296,No
CUST0435,20,65457,29243,332,126,No
CUST0436,57,148762,41268,420,124,Yes
CUST0437,23,61879,15813,651,139,No
CUST0438,44,42005,33748,655,249,Yes
CUST0439,60,103386,20967,795,90,No
CUST0440,55,136040,43141,305,62,Yes
CUST0441,54,146232,7667,462,289,Yes
CUST0442,51,31629,13740,834,270,Yes
CUST0443,38,127696,11551,560,197,Yes
CUST0444,34,112925,46431,424,223,No
CUST0445,31,107821,45136,497,216,Yes
CUST0446,60,103768,29650,330,226,No
CUST0447,63,115588,15338,848,302,Yes
CUST0448,38,136215,6024,323,181,No
CUST0449,33,64007,36913,830,165,No
CUST0450,34,78540,10290,824,53,Yes
CUST0451,43,21493,5416,456,136,No
CUST0452,26,54761,5473,521,95,No
CUST0453,60,47483,16758,673,331,No
CUST0454,59,52707,10841,417,258,Yes
CUST0455,37,110855,47713,522,351,No
CUST0456,47,28885,43910,330,45,No
CUST0457,38,65938,23594,635,172,No
CUST0458,66,53640,32277,441,41,Yes
CUST0459,22,123156,36195,525,235,No
CUST0460,18,34160,13316,385,219,No
CUST0461,47,114426,18510,429,233,No
CUST0462,57,20167,14377,574,90,Yes
CUST0463,54,26310,46931,580,224,Yes
CUST0464,24,70585,22756,793,254,Yes
CUST0465,22,77438,39281,504,27,No
CUST0466,52,116021,34518,394,182,Yes
CUST0467,31,75004,32002,656,201,No
CUST0468,50,147022,20679,601,72,No
CUST0469,34,41802,16439,778,169,Yes
CUST0470,26,135939,45012,807,132,Yes
CUST0471,40,74266,7465,746,261,No
CUST0472,74,84629,44077,824,263,No
CUST0473,22,135575,16796,709,214,No
CUST0474,74,69638,37760,497,313,No
CUST0475,33,66036,45111,556,121,Yes
CUST0476,41,91568,10768,477,219,Yes
CUST0477,36,69197,46103,502,232,No
CUST0478,28,33294,24739,587,132,Yes
CUST0479,46,128633,27796,702,158,No
CUST0480,71,82847,32445,405,136,No
CUST0481,52,123380,5299,619,324,No
CUST0482,63,133252,41550,469,96,No
CUST0483,37,95766,20442,510,184,Yes
CUST0484,57,105323,17576,799,93,Yes
CUST0485,69,119384,12700,743,318,No
CUST0486,59,110067,39747,756,179,Yes
CUST0487,51,49567,11270,733,315,Yes
CUST0488,18,41319,45561,578,204,Yes
CUST0489,60,79151,28717,626,54,No
CUST0490,70,29661,40371,410,63,Yes
CUST0491,53,124752,38262,692,54,No
CUST0492,37,130855,19370,739,54,Yes
CUST0493,60,24379,35422,504,16,Yes
CUST0494,24,58654,46055,661,88,Yes
CUST0495,74,22631,48209,682,288,No
CUST0496,26,61774,18638,365,231,Yes
CUST0497,34,54226,23115,760,264,Yes
CUST0498,25,144736,8477,471,59,Yes
CUST0499,74,33726,17695,334,343,Yes
CUST0500,24,29725,12384,823,89,No
CUST0501,65,64801,14779,559,38,Yes
CUST0502,53,42296,49908,719,13,Yes
CUST0503,27,136382,36091,600,253,Yes
CUST0504,35,69212,37605,843,102,No
CUST0505,36,41090,16555,660,28,No
CUST0506,56,115942,15470,707,80,No
CUST0507,31,29830,48918,330,161,No
CUST0508,63,91702,7825,417,199,No
CUST0509,39,143448,8540,484,359,Yes
CUST0510,31,137718,47261,630,194,No
CUST0511,61,148193,28867,739,353,Yes
CUST0512,58,32203,23681,490,304,Yes
CUST0513,72,64295,18735,666,56,Yes
CUST0514,34,97860,33486,551,32,No
CUST0515,50,149142,21474,374,96,No
CUST0516,49,100431,26908,520,170,No
CUST0517,34,137076,45423,680,181,Yes
CUST0518,75,83273,34697,680,63,Yes
CUST0519,72,112340,7838,448,31,Yes
CUST0520,21,24062,11843,621,310,Yes
CUST0521,23,76534,8437,425,54,No
CUST0522,58,143527,40216,309,32,No
CUST0523,45,105673,16526,626,326,Yes
CUST0524,71,41626,15357,311,12,No
CUST0525,35,99602,6904,636,110,No
CUST0526,20,136621,36788,518,99,No
CUST0527,18,76911,38744,776,212,No
CUST0528,39,40591,12606,629,263,No
CUST0529,67,27019,9643,538,67,Yes
CUST0530,26,33272,20420,367,148,Yes
CUST0531,58,63397,34151,694,315,No
CUST0532,34,46941,43843,590,161,Yes
CUST0533,28,147716,42995,517,327,Yes
CUST0534,65,44901,26362,839,281,Yes
CUST0535,46,73645,32463,522,48,No
CUST0536,53,111382,18025,405,325,No
CUST0537,63,92628,49358,584,157,No
CUST0538,45,114638,26344,376,82,Yes
CUST0539,53,141316,20077,731,45,Yes
CUST0540,18,115679,12217,745,248,No
CUST0541,25,90795,26373,625,322,Yes
CUST0542,22,54768,19927,627,145,Yes
CUST0543,74,106585,11426,502,92,Yes
CUST0544,62,56899,20539,501,341,Yes
CUST0545,75,58980,32039,350,275,Yes
CUST0546,27,51135,18104,805,61,Yes
CUST0547,52,32571,29610,810,266,Yes
CUST0548,20,26505,19461,347,322,Yes
CUST0549,71,71498,9818,581,126,No
CUST0550,41,94943,35866,731,157,Yes
CUST0551,55,92045,43344,422,28,No
CUST0552,53,130081,36746,427,213,No
CUST0553,27,84349,8561,763,185,No
CUST0554,45,40131,33564,475,352,No
CUST0555,26,27144,14498,634,95,No
CUST0556,20,67294,19166,692,254,No
CUST0557,37,20500,44939,542,243,No
CUST0558,41,76047,34818,321,195,No
CUST0559,75,31485,16669,591,272,Yes
CUST0560,68,58607,30384,318,168,Yes
CUST0561,73,127989,29476,304,162,Yes
CUST0562,20,106772,13939,772,346,Yes
CUST0563,75,101931,34998,591,217,No
CUST0564,40,98671,17724,434,226,No
CUST0565,31,82957,46420,712,132,No
CUST0566,61,46171,28500,337,170,No
CUST0567,33,32712,22674,846,353,No
CUST0568,60,23373,18252,840,179,No
CUST0569,24,47125,27012,340,119,No
CUST0570,40,42391,13336,645,135,No
CUST0571,67,103648,7103,316,248,No
CUST0572,53,58248,42268,371,88,No
CUST0573,74,148064,8909,781,91,No
CUST0574,73,30739,23389,397,30,No
CUST0575,44,82071,13945,725,52,Yes
CUST0576,57,130594,12281,608,42,No
CUST0577,65,35139,35509,581,312,Yes
CUST0578,27,60416,35053,624,72,No
CUST0579,33,122875,32408,654,87,No
CUST0580,73,72096,16219,709,67,No
CUST0581,28,81727,27516,381,241,Yes
CUST0582,69,84106,19408,620,76,No
CUST0583,69,137293,24343,805,88,No
CUST0584,29,106643,44559,348,49,Yes
CUST0585,74,54734,15275,702,156,Yes
CUST0586,44,31945,46811,605,182,No
CUST0587,19,104130,45077,765,175,Yes
CUST0588,29,91319,16136,805,308,No
CUST0589,65,70793,42887,424,134,No
CUST0590,39,44232,41225,682,258,Yes
CUST0591,68,68630,20053,405,234,No
CUST0592,44,136063,10667,329,221,Yes
CUST0593,69,69996,31980,529,74,Yes
CUST0594,60,68418,39194,348,341,No
CUST0595,73,44455,37061,310,354,No
CUST0596,65,78428,19184,442,355,No
CUST0597,69,25848,43769,407,294,Yes
CUST0598,33,54510,36030,630,312,No
CUST0599,35,77637,35327,746,166,No
CUST0600,28,80956,23295,531,119,Yes
CUST0601,68,54524,5950,474,254,Yes
CUST0602,62,49654,33056,390,347,No
CUST0603,24,129717,21164,495,29,Yes
CUST0604,42,55200,21241,677,198,No
CUST0605,73,93956,26449,850,92,Yes
CUST0606,20,28079,33458,305,212,No
CUST0607,72,39808,42975,353,110,Yes
CUST0608,48,118596,19575,565,188,Yes
CUST0609,32,111287,43782,344,45,No
CUST0610,30,107486,14762,413,37,No
CUST0611,70,32675,42598,349,28,Yes
CUST0612,47,31233,5332,611,141,Yes
CUST0613,40,107574,32379,376,211,No
CUST0614,37,65061,7898,570,107,No
CUST0615,70,125929,7625,637,266,Yes
CUST0616,68,90968,35844,688,249,Yes
CUST0617,73,74262,38044,576,349,Yes
CUST0618,32,147232,7203,474,215,No
CUST0619,32,119150,32898,441,177,No
CUST0620,19,97296,39807,771,242,Yes
CUST0621,60,49820,30842,422,80,No
CUST0622,30,92561,36409,429,179,No
CUST0623,43,27993,11422,626,228,Yes
CUST0624,39,130204,34651,451,349,Yes
CUST0625,35,70738,37459,723,173,No
CUST0626,73,127270,20762,757,302,No
CUST0627,22,88495,10445,425,106,No
CUST0628,67,74870,41601,834,15,No
CUST0629,35,146566,5814,840,96,No
CUST0630,40,90190,31648,546,140,No
CUST0631,59,110055,19287,789,224,No
CUST0632,50,133625,13697,801,59,No
CUST0633,43,142730,28488,587,261,Yes
CUST0634,61,82236,24384,629,183,No
CUST0635,71,95066,20667,794,87,No
CUST0636,52,135560,47443,531,33,No
CUST0637,39,50886,10946,394,83,No
CUST0638,19,82424,6043,570,134,Yes
CUST0639,25,59171,36443,603,274,No
CUST0640,74,30348,48845,384,321,No
CUST0641,34,71747,24977,661,265,Yes
CUST0642,29,138328,15603,548,154,No
CUST0643,55,131927,35099,510,115,Yes
CUST0644,34,113625,42380,379,104,No
CUST0645,20,24551,43250,376,225,Yes
CUST0646,24,85811,6599,806,31,Yes
CUST0647,56,94870,34808,361,16,No
CUST0648,45,138024,35393,517,335,No
CUST0649,40,87740,14084,313,196,No
CUST0650,64,124916,31565,521,187,No
CUST0651,68,94905,17120,779,326,Yes
CUST0652,38,108805,29275,694,202,No
CUST0653,45,148811,46078,492,184,No
CUST0654,56,101300,35428,799,13,No
CUST0655,50,39326,46510,407,65,Yes
CUST0656,25,35765,5089,648,259,Yes
CUST0657,42,144420,46111,513,268,Yes
CUST0658,75,119246,9633,840,115,Yes
CUST0659,54,78856,30223,826,120,Yes
CUST0660,30,42659,26817,620,87,No
CUST0661,34,144395,39794,619,182,No
CUST0662,20,149023,7143,764,360,Yes
CUST0663,63,41910,24437,457,349,No
